利用日,利用店名・商品名,利用者,支払方法,利用金額,支払手数料,支払総額
2026/03/01,Amazon.co.jp,本人,1回払い,3480,0,3480
2026/03/02,スターバックスコーヒー,本人,1回払い,680,0,680
2026/03/03,イオンスーパー,本人,1回払い,5420,0,5420
2026/03/04,Netflix,本人,1回払い,1980,0,1980
2026/03/05,東京メトロ,本人,1回払い,2100,0,2100
2026/03/07,マクドナルド,本人,1回払い,890,0,890
2026/03/08,ウェルシア薬局,本人,1回払い,1240,0,1240
2026/03/10,ユニクロ,本人,1回払い,4990,0,4990
2026/03/11,セブンイレブン,本人,1回払い,530,0,530
2026/03/12,ガスト,本人,1回払い,1450,0,1450
2026/03/14,ニトリ,本人,1回払い,8800,0,8800
2026/03/15,スーパー西友,本人,1回払い,3870,0,3870
2026/03/17,ドトールコーヒー,本人,1回払い,480,0,480
2026/03/18,TOHOシネマズ,本人,1回払い,2200,0,2200
2026/03/19,業務スーパー,本人,1回払い,4100,0,4100
2026/03/20,Spotify,本人,1回払い,980,0,980
2026/03/21,松本清薬局,本人,1回払い,1680,0,1680
2026/03/22,吉野家,本人,1回払い,680,0,680
2026/03/24,Amazon.co.jp,本人,1回払い,2980,0,2980
2026/03/25,スタバ,本人,1回払い,750,0,750
2026/03/26,ダイソー,本人,1回払い,660,0,660
2026/03/27,コープスーパー,本人,1回払い,6200,0,6200
2026/03/28,歯科クリニック,本人,1回払い,3000,0,3000
2026/03/29,ローソン,本人,1回払い,420,0,420
2026/03/30,ガスト,本人,1回払い,1200,0,1200
